"","x"
"1976012621",0
"1976013202",0
"1976039325",13
"1976046733",3
"1976057932",0
"1976139682",0
"1976256447",14
"1976275430",0
"1976289860",0
"1976354615",0
"1976362259",313
"1976398405",0
"1976407234",22.25
"1976467683",0
"1976512378",61
"1976545673",0
"1976566382",56
"1976590410",0
"1976597276",116.166666666667
"1976609867",0
"1976620992",0
"1976626285",26
"1976656107",0
"1976684802",2
"1976875732",0
"1976890321",49.3333333333333
"1977017150",172.5
"1977023289",0
"1977033623",7
"1977066589",0
"1977073753",118
"1977148017",6.5
"1977442969",4
"1977459563",0
"1977481214",0
"1977634822",49
"1977654045",0
"1977664993",84
"1977721962",0
"1977750847",0
"1977762626",0
"1977841248",14
"1977910068",0
"1977945493",0
"1977961291",0
"1978101948",0
"1978141156",0
"1978201669",103
"1978234037",36
"1978342702",18
"1978474920",118.316666666667
"1978496755",41
"1978605873",0
"1978683153",0
"1978738590",0
"1978751188",0
"1978784480",29.5
"1978799756",0
"1978854979",62
"1978897528",0
"1978905430",0
"1978910160",102
"1979063032",40.5
"1979110258",16
"1979142949",19
"1979218024",0
"1979331595",186.237698412698
"1979347607",53.5
"1979360336",0
"1979429433",0
"1979434225",0
"1979472129",0
"1979549328",14.5
"1979664165",0
"1979675160",333
"1979679758",48
"1979702665",0
"1979725976",0
"1979808798",0
"1979882273",0
"1979896859",0
"1979965748",0
"1980045759",0
"1980049228",0
"1980147633",0
"1980157839",0
"1980188988",13
"1980222952",14.5
"1980229662",0
"1980382462",239.966666666667
"1980398052",0
"1980458770",102.5
"1980487273",0
"1980527312",0
"1980544393",0
"1980544440",0
"1980600133",0
"1980681921",0
"1980688822",168
"1980729960",0
"1980741317",0
"1980774831",0
"1980775850",0
"1980881005",0
"1980884012",0
"1980901184",0
"1980969707",0
"1981021137",0
"1981068239",0
"1981108429",2.5
"1981163847",0
"1981182605",0
"1981205343",0
"1981230402",50.8333333333333
"1981254163",0
"1981283566",0
"1981380486",2.5
"1981403533",0
"1981458038",128
"1981498149",41
"1981536098",0
"1981570852",21
"1981755824",26
"1981947099",0
"1982088867",0
"1982091032",23
"1982141954",98.9166666666667
"1982321984",0
"1982379452",21
"1982409516",0
"1982516149",0
"1982570325",2
"1982594858",23
"1982601383",0
"1982614161",0
"1982618675",142.398484848485
"1982679468",0
"1982715633",0
"1982726626",0
"1982840091",9
"1982920597",20
"1982987888",0
"1983060680",0
"1983075825",0
"1983124003",0
"1983165938",0
"1983184501",47.5
"1983278218",0
"1983363688",778
"1983380373",0
"1983404414",26.5
"1983484389",0
"1983566000",0
"1983579396",98.5
"1983581635",26
"1983607448",140.5
"1983670955",138
"1983715910",0
"1983758834",0
"1983762227",11
"1983783260",0
"1983812060",201.5
"1983827846",0
"1983850222",13
"1983896936",0
"1983909607",0
"1984102552",0
"1984134375",0
"1984197677",53
"1984263024",0
"1984282654",12
"1984327354",10.5
"1984365711",0
"1984654899",0
"1984662960",0
"1984666103",16
"1984680100",0
"1984688826",0
"1984743125",9
"1984791219",50
"1984832305",19.5
"1985072889",0
"1985097283",0
"1985135956",0
"1985136655",182
"1985155683",0
"1985155898",0
"1985195162",5
"1985215678",0
"1985223995",0
"1985236305",0
"1985272633",0
"1985323353",328.5
"1985348293",0
"1985393501",78
"1985439959",27
"1985462856",11
"1985614822",0
"1985820353",54.5
"1985877695",89
"1985904044",25
"1985947010",0
"1985957764",16
"1985987018",0
"1986005161",0
"1986008108",0
"1986021722",2
"1986058242",0
"1986109584",101
"1986190044",15
"1986193456",0
"1986218335",0
"1986228547",0
"1986237407",0
"1986315484",24
"1986320069",0
"1986342957",18
"1986363410",6
"1986431671",0
"1986467948",16.8333333333333
"1986575189",10
"1986697789",0
"1987089478",46.5
"1987142982",15
"1987236180",38.5
"1987258262",0
"1987366351",295
"1987464275",11
"1987527649",0
"1987554386",0
"1987554620",171
"1987595838",0
"1987634340",51
"1987757667",0
"1987858130",0
"1987918371",0
"1987964104",0
"1988006487",13.8333333333333
"1988029749",68.1666666666667
"1988224469",0
"1988235774",0
"1988283437",0
"1988319812",75
"1988343078",0
"1988440394",33
"1988456619",0
"1988497044",36.5
"1988579290",81.25
"1988595096",10
"1988627679",0
"1988646500",9
"1988666479",31.75
"1988678232",55.5
"1988695218",0
"1988726832",0
"1988748730",23
"1988759226",0
"1988836472",92.5
"1988847865",0
"1988848199",0
"1988890806",7
"1988963939",102.833333333333
"1988990314",0
"1989101742",42
"1989157921",752.666666666667
"1989170873",0
"1989175591",0
"1989185482",0
"1989191200",0
"1989206701",96
"1989270503",37
"1989283460",0
"1989337993",0
"1989353817",0
"1989391644",0
"1989419598",0
"1989434047",0
"1989450147",127.611111111111
"1989530654",92.5
"1989534858",49.5
"1989539217",160
"1989566756",67.5
"1989617207",32.1666666666667
"1989696410",10.8333333333333
"1989704428",0
"1989704934",7.33333333333333
"1989742024",7.33333333333333
"1989744401",10
"1989766901",0
"1989829089",0
"1990009229",0
"1990033338",0
"1990081875",0
"1990088088",20.5
"1990195693",0
"1990290671",93.5
"1990451163",0
"1990469034",0
"1990472920",11
"1990500325",0
"1990501833",0
"1990577785",18
"1990579857",87
"1990613796",0
"1990661746",0
"1990710124",7
"1990762202",0
"1990797646",0
"1990837223",0
"1990902258",0
"1990947650",0
"1991120726",0
"1991151336",0
"1991168778",0
"1991209472",0
"1991318317",0
"1991460069",55.8333333333333
"1991464229",0
"1991502302",0
"1991523464",0
"1991544526",0
"1991608302",17.5
"1991634317",0
"1991713115",12
"1991730503",40.5
"1991755688",35.5
"1991760064",0
"1991792143",0
"1991803578",70
"1991830413",45
"1991904384",28.3333333333333
"1991944675",95.25
"1992097008",0
"1992141392",44
"1992159041",12
"1992239594",41
"1992269475",0
"1992418101",0
"1992524012",0
"1992534760",4
"1992558806",80
"1992563982",0
"1992646968",0
"1992719684",0
"1992736409",0
"1992857168",0
"1992863161",0
"1992867634",20.3333333333333
"1992895784",76
"1993052783",0
"1993133725",0
"1993155451",63
"1993163613",8
"1993260569",0
"1993372673",0
"1993387975",0
"1993437082",0
"1993454870",0
"1993488146",0
"1993778445",0
"1993805318",64
"1993839587",0
"1993874601",0
"1993906622",211
"1993941361",4
"1993946988",0
"1994008698",0
"1994188511",18.5
"1994192260",23
"1994234501",0
"1994268319",0
"1994474201",0
"1994623790",603
"1994690166",2
"1994716798",27
"1994785024",429.5
"1994855553",132.5
"1994864760",70
"1994877111",58.2833333333333
"1994943112",278
"1994967090",493.333333333333
"1994972483",0
"1995034740",0
"1995111761",0
"1995113768",55
"1995261498",28
"1995312241",0
"1995342302",0
"1995358810",0
"1995389224",0
"1995421033",0
"1995457679",0
"1995485420",2.5
"1995612730",0
"1995615774",85.5
"1995706296",17
"1995749755",29.5
"1995802246",115
"1995858059",0
"1995903586",0
"1995939199",0
"1995986850",20.1666666666667
"1996082966",386.5
"1996110654",29
"1996121604",24
"1996160964",20
"1996234508",60.5
"1996264924",36
"1996278632",9
"1996282101",0
"1996338219",564
"1996348509",0
