
1 {2043338016~2154613642~159610316~1979876342~1832751096~2100069631} 6
2 {2485633537~177152004~1972291593~2661920265~2312837134~2165875728~2655389208~2158987803~2100576291~2130456104~2108210217~2097703981~1604723759~2313657906~2168614452~2006682166~132303927~161269817~1889475642~2150887997~2004861503~2609987651~24574532~2309553220~1981209670~2619694662~512556102~2093953614~2088212047~2443967568~318894673~2464094287~2302862425~242415709~2161866848~2619145315~2128170596~1566711909~289005672~167589996~2949025389~2595437681~1893736562~1537048691~2187581557~2032270973~1986182274~1572478601~371500171~2096859791~2038901907~2189262995~2101434519~2116681370~168172700~1980701853~677722270~2858415774~1992641199~2058584252~2345664702~1912135871~2134439617~2053214915~2080686788~2109587139~2806907591~2160888527~2134498512~2032345308~139967712~2098954979~2148448995~1111049960~2108769517~712415982~2192737520~670306551~2209303800~2466810105~2584127737~2107302653~2296948990~284430083~2468960519~1982686475~2048266507~2165111055~2171367185~1273563922~2042048789~2632800540~163924767~2063782688~2072849696~1691279138~2086114595~2169650468~311375655~2127973671~2095782188~2232397101~2953371951~2020289842~1910597427~2190151475~2510924085~135252792~2118271290~2037010747~2882719549~2012736320~2105657664~130200899~2037866308~2172053321~2028784970~2165695307~738438988~2308824398~2149131086~2330451~2397241174~2063114072~2291088731~2142689629~1133076831~2040186208~1904534369~1960353634~2009081702~2522648935~2080344424~2127243113~2328522601~2737211241~2121586545~2133066616~662855036~2016539005~2162369918~1034661245~2041520510~2116332931~278754694~2512381318~2020781963~1994357136~2106500497~1974025617~1973162899~2777174945~2469499809~1281575332~2155890085~36172711~2077020583~2103829928~19414955~2307616684~2018810797~270351283~2420433332~2062380982~2160652726~1984316343~2618550202~2226538938~2736861629~2691474368~2135804864~2694804417~2955258819~2780658116~155277768~2231647228~309515214~2550150095~242635728~301283286~2122791383~1856923607~1982327768~297432538~2029583323~101938652~738756060~2095381979~2148425697~2160774113~2122328552~2148550123~2277160431~2778121718~2007149047~2233962492~2167617533} 197
3 {2029568768~2134830209~2095953017~2556322307~2062010626~2142724104~2103336841~2912415756~2589844882~2137725330~2298118675~2141840149~2551033752~2143687321~2169363483~2042309534~2150527135~2108011552~254766753~2302610210~2098223009~198285984~2917479589~1985648170~2239320619~430121905~2230249395~2462785460~2181724469~2524462901~1978915323~243317564~2161010623~229038272~57053632~2129867074~2096074559~2168485313~2362630976~2689542854~2112067655~2009645378~2229253834~2484040650~2150814284~2344260300~2165788238~2261047503~2171800532~2232375382~2051750615~2704209241~1998419034~2099978586~2255504348~2567649626~2483473501~11820511~2193999452~426874850~2304993124~2505321855~2205924584~2968337513~2022822378~2147539308~2019021678~2161135216~2151859571~2059277171~2100565365~2139423477~2523407221~1375400056~2021036281~2116323195~2152055551} 77
4 {2126135973~2492806152~2100308201~2940493083~2527611484~2119244895} 6
5 {193178368~235001993~2121236236~2490060940~2012499344~2092639762~2130881427~2790495380~2206712854~1518321175~2250490518~2302750490~2137854364~2124967328~2023254819~327757988~2096029477~2143089062~2166641447~2023626662~2240528681~288626473~2118586410~2489899178~207969196~2040505518~2171234738~1484279603~2792718004~259249205~86199990~2216252091~2777047099~2509467199~2073631992~2277778369~2021686850~2128657275~2005577924~2239053892~2470363587~2086475204~2269886024~2692458818~1186584138~264277963~2224570189~80354510~2292250447~2066665679~2482715602~2112925650~92438100~2169226194~2007049433~278177626~2151264347~2074453466~2715690588~2124657829~2142388449~2303156069~2095673574~1531155176~2094301929~20281835~2072292845~2097273326~2009916527~136708976~1770329841~2165137138~2023117810~252479729~274891381~2096833007~2279407096~2129072251~2111387516~2169901821~2139723518} 81
6 {2507744390~2139093703~2112199944~737145164~2109451195} 5
7 {1994240001~2132618373~2117656073~2556717708~1810360850~1764448532~2171819543~1973210777~2145928477~36286238~277843997~2700151585~2464448550~2223736107~2096887853~2256905521~2239241780~2066975796~282980150~1979429815~2566460218~1247940802~2148142019~2162740804~2778630342~184409032~2004878410~2706440653~2304140494~2470180175~134769616~2111406810~2096599005~2079278047~1220761185~2135215972~2151014374~2105735912~39115121~2538077558~2122268670~610644735} 42
8 {2119536171~2200619820~2095785948~2147033837~2071532528~2302839345~2398784594~356043702~2165121431~2307209592~1988556028~2109475261} 12
9 {2035876866~2116836739~2045157892~2130181892~2700953612~2109954189~2110501006~2427243148~1986033680~2148022289~2300711308~2583656720~2656283669~2162752662~2120348443~2702409756~2116155808~2140714400~2678872867~2101279140~2138722980~2113276713~2135302315~2130712876~2497095473~2598605361~2119739827~2141326772~2127632057~2285338435~2165888709~2683781446~2168176072~2099379656~2114357324~2137603918~2104512981~2591117145~2157689689~2155265242~2396073053~2163103719~2118530536~2515560682~2108673390~2110230645~2562268280~2126599162} 48
10 {2155193350~136888070~2044129544~2570615947~2304713483~2117499156~2395024022~2514263958~2627995287~2158932634~2279335322~2107142044~1517651870~2503171999~2279520417~2122351653~2250300074~2097306286~2010238386~2505588532~2178816185~617670330~2035224764~2467733054~315739715~2018227268~2718747388~279168326~2090128582~2238207816~2106882380~2167134412~2264677196~2261367123~2569207891~247755989~2195050966~2139177686~297118547~164824025~2189524569~2479480413~2285060831~2937705183~2114683746~131186531~2401433957~2615464551~2035346540~1313188078~2659318511~2226262640~2198766192~2280654194~2198983026~2680176243~2152814967~2300062457~1878631932} 59
